Designator,Footprint,Quantity,Value,LCSC Part #
C1,402,1,0.1uF,
"C2, C3, C5, C6",201,4,2.2uF,
C4,201,1,0.1uF,
D1,NSR05T40XV2,1,NSR05T40XV2,
IC1,MAX17048G-L,1,MAX17048G,
IC2,MCP73832-2ACIMC,1,MCP73832-2ACI-MC,
IC3,MIC5514-3.3YMT-TR,1,MIC5514-3.3YMT-TR,
IC4,ISP1807-LR-RS,1,ISP1807-LR-RS,
PL1,603,1,0ZCM0003FF2G,
Q1,SSM3j36FS,1,Q_PMOS_GSD,
"R1, R2",402,2,10k,
R3,201,1,18k,
R4,201,1,100k,
