Designator,Mid X,Mid Y,Rotation,Layer
C1,3.7,3.05,0,top
C2,11.95,1.3,180,top
C3,13.55,1.3,180,top
C4,18.5,2.15,90,top
C5,17.7,6.7,180,top
C6,14.75,6.7,180,top
D1,18,4.7,270,top
IC1,1.4,4.5,90,top
IC2,12.4,4.05,90,top
IC3,15.5,4.75,180,top
IC4,31.6,4.5,0,top
PL1,3.15,1.75,180,top
Q1,15.75,2.35,180,top
R1,3.25,5.75,90,top
R2,4.3,5.75,90,top
R3,11.905,6.75,0,top
R4,17.6,2.15,270,top
