C1:1
C2:1
C3:1
C4:1
C5:1
C6:1
D1:1
IC1:1
IC2:1
IC3:1
IC4:1
J1:1
J2:1
J3:1
J4:1
PL1:1
Q1:1
R1:1
R2:1
R3:1
R4:1
REF**:7
