Designator,Mid X,Mid Y,Rotation,Layer
J1,41.5,4.5,90.0,top
J2,3.13775,-0.005,0.0,top
J3,32.3,8.0,270.0,bottom
J4,13.0,4.5,90.0,top
J5,13.0,4.5,90.0,bottom
J6,27.0,4.5,90.0,top
J7,27.0,4.5,90.0,bottom
J8,33.2,1.0,270.0,bottom
